Product,Type,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,Perf_per_Watt
AMD Athlon 64 3500+,CPU,65.0,45.0,77.0,122.0,2200.0,396.0,4.95,568.0,7.1,45.0,8.8,1.0,8.8
AMD Athlon 200GE,CPU,14.0,35.0,192.0,4800.0,3200.0,4135.0,33.38,1817.0,14.67,35.0,118.15,2.0,118.14285714285714
Intel Core i5-1145G7,CPU,10.0,28.0,148.0,624.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,61.232142857142854
Intel Xeon E5-2603 v2,CPU,22.0,80.0,160.0,1400.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
AMD Phenom II X4 980 BE,CPU,45.0,125.0,258.0,758.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Xeon E5-2470 v2,CPU,22.0,95.0,160.0,1400.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD Phenom X4 9750 (125W),CPU,65.0,125.0,285.0,450.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Pentium D 930,CPU,65.0,130.0,140.0,376.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
Intel Core i3-1125G4,CPU,10.0,28.0,148.0,624.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,61.232142857142854
AMD Athlon 64 X2 4200+,CPU,90.0,89.0,156.0,154.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
AMD Sempron 2800+,CPU,130.0,62.0,80.0,37.0,1992.0,243.0,8.11,408.0,13.63,62.0,3.92,1.0,3.9193548387096775
Intel Core i7-3632QM,CPU,22.0,35.0,160.0,1480.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD C-70,CPU,40.0,9.0,75.0,624.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,190.5
Intel Core i5-8269U,CPU,14.0,28.0,123.0,624.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,61.232142857142854
AMD Phenom X4 9600 BE,CPU,65.0,95.0,285.0,450.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Pentium 3560Y,CPU,22.0,12.0,118.0,1400.0,1200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,142.875
AMD Turion X2 Ultra ZM-84,CPU,65.0,35.0,148.0,624.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Pentium 4 506,CPU,90.0,84.0,109.0,125.0,2660.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
Intel Xeon E5-2430 v2,CPU,22.0,80.0,160.0,1400.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
AMD Athlon 64 X2 4800+,CPU,90.0,110.0,199.0,233.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.586363636363636
Intel Core i5-3427U,CPU,22.0,17.0,118.0,624.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
AMD Opteron 148 HE,CPU,90.0,55.0,148.0,106.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.172727272727272
AMD Athlon 1100,CPU,180.0,60.0,120.0,37.0,1100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,28.575
Intel Core i7-975,CPU,45.0,130.0,263.0,731.0,3333.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
AMD Athlon 64 3500+,CPU,90.0,67.0,115.0,105.0,2200.0,396.0,4.95,568.0,7.1,45.0,8.8,1.0,5.91044776119403
Intel Pentium 4 HT 672,CPU,90.0,84.0,109.0,169.0,3800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
Intel Pentium D 830,CPU,90.0,130.0,206.0,169.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
